Name,Province,ClimateID,WMOID,TCID,Lat,Lng,Elev,hlyStartYear,hlyEndYear,dlyStartYear,dlyEndYear,mlyStartYear,mlyEndYear
ACTIVE PASS,BC,1010066,,,48.87,-123.28,4,,,1984,1996,1984,1996
ALBERT HEAD,BC,1010235,,,48.4,-123.48,17,,,1971,1995,1971,1995
BAMBERTON OCEAN CEMENT,BC,1010595,,,48.58,-123.52,85.3,,,1961,1980,1961,1980
BEAR CREEK,BC,1010720,,,48.5,-124,350.5,,,1910,1971,1910,1971
BEAVER LAKE,BC,1010774,,,48.5,-123.35,61,,,1894,1952,1894,1952
BECHER BAY,BC,1010780,,,48.33,-123.63,12.2,,,1956,1966,1956,1966
BRENTWOOD BAY 2,BC,1010960,,,48.6,-123.47,38,,,1987,1997,1987,1997
BRENTWOOD CLARKE ROAD,BC,1010961,,,48.57,-123.45,30.5,,,1972,1980,1972,1980
BRENTWOOD W SAANICH RD,BC,1010965,,,48.57,-123.43,91.4,,,1960,1970,1960,1970
CENTRAL SAANICH VEYANESS,BC,1011467,,,48.58,-123.42,53.3,,,1963,1994,1963,1994
CENTRAL SAANICH ISL VIEW,BC,10114F6,,,48.57,-123.39,38,,,1970,2008,1970,2007
CENTRAL SAANICH TANNER,BC,10114FF,,,48.55,-123.4,88.4,,,1966,1968,1966,1968
CHEMAINUS,BC,1011500,,,48.94,-123.74,75,,,1919,2019,1919,2007
COBBLE HILL,BC,1011743,,,48.68,-123.6,99,,,1990,1994,1990,1994
COBBLE HILL DELOUME ROAD,BC,1011745,,,48.65,-123.57,61,,,1970,1981,1970,1981
COLE BAY,BC,1011775,,,48.65,-123.4,36.6,,,1923,1942,1923,1942
COLWOOD HATLEY DR,BC,1011810,,,48.42,-123.48,75.6,,,1981,2001,1981,2001
COPPER CANYON,BC,1011860,,,48.83,-123.83,176.8,,,1957,1959,1957,1959
CORDOVA BAY,BC,1011920,,,48.53,-123.37,37.2,,,1951,1970,1951,1970
CORDOVA BAY SOUTH,BC,1011922,,,48.52,-123.37,26,,,1972,1995,1972,1995
COWICHAN,BC,1012008,,,48.42,-123.7,51.8,,,1904,1925,1904,1925
COWICHAN BAY CHERRY POINT,BC,1012010,,,48.71,-123.56,1,,,1913,2001,1913,2001
COWICHAN BAY SOUTHEAST,BC,1012018,,,48.73,-123.6,94,,,1989,1994,1989,1994
COWICHAN LAKE FORESTRY,BC,1012040,,,48.82,-124.13,176.8,,,1949,2018,1949,2007
COWICHAN LAKE HATCHERY,BC,1012046,,,48.83,-124.12,152.4,,,1931,1948,1931,1948
COWICHAN LAKE NITINAT,BC,1012052,,,48.93,-124.48,189,,,1959,1962,1959,1962
LAKE COWICHAN,BC,1012055,,,48.83,-124.05,171,,,1960,2019,1960,2007
CROFTON,BC,1012190,,,48.82,-123.67,30.5,,,1921,1968,1921,1968
DISCOVERY ISLAND,BC,1012475,71031,WDR,48.42,-123.23,18.93,1997,2019,1997,2019,1998,2005
DUNCAN,BC,1012550,,,48.78,-123.72,8.5,,,1926,1957,1926,1957
DUNCAN BCHPA VIT,BC,1012562,,,48.83,-123.72,36,,,1972,1976,1972,1976
DUNCAN EAST,BC,1012566,,,48.78,-123.68,7.6,,,1960,1964,1960,1964
DUNCAN FORESTRY,BC,1012570,,,48.77,-123.68,6,,,1958,1989,1958,1989
DUNCAN KELVIN CREEK,BC,1012573,,,48.73,-123.73,103,,,1987,2016,1987,2007
EAST SOOKE ANDERSON COVE,BC,1012628,,,48.35,-123.63,36.6,,,1966,1980,1966,1980
ELK LAKE,BC,1012655,,,48.52,-123.38,114.3,,,1957,1978,1957,1978
ELK LAKE 2,BC,1012656,,,48.53,-123.38,53,,,1980,1986,1980,1986
ESQUIMALT,BC,1012700,,,48.43,-123.42,13.7,,,1872,1950,1872,1950
ESQUIMALT LAGOON,BC,1012707,,,48.42,-123.47,15.2,,,1976,1978,1976,1978
ESQUIMALT HARBOUR,BC,1012710,71798,WPF,48.43,-123.44,3,1994,2019,1957,2019,1957,2005
FINLAYSON ARM RD,BC,1012883,,,48.5,-123.53,167.6,,,1976,1977,1976,1977
GALIANO ISLAND GCC,BC,1013045,,,48.9,-123.35,15.2,,,1956,1977,1956,1977
GANGES MANSELL RD,BC,1013051,,,48.87,-123.5,45,,,1974,2014,1975,2007
GALIANO ISL BURRILL PT,BC,10130DE,,,48.87,-123.32,1.5,,,1970,1970,1970,1970
GALIANO NORTH,BC,10130MN,,,48.99,-123.57,6,,,1975,2019,1975,2007
GOLDSTREAM LAKE,BC,1013240,,,48.45,-123.55,458.7,,,1894,1953,1894,1953
GOLDSTREAM MEADOWS,BC,1013241,,,48.62,-123.53,64,,,1976,1976,1976,1976
HONEYMOON BAY NORTHWEST,BC,1013519,,,48.83,-124.19,170,,,1989,2003,1989,2003
JAMES ISLAND,BC,1013720,,,48.6,-123.35,53.6,,,1914,1978,1914,1978
KELP REEFS,BC,1013998,,WZO,48.55,-123.24,0,1997,2019,2018,2019,,
KUPER ISLAND,BC,1014430,,,48.97,-123.63,,,,1894,1905,1894,1905
LAKE COWICHAN,BC,1014493,,,48.82,-124.05,180,,,1924,1994,1924,1994
LANGFORD LAKE,BC,1014530,,,48.43,-123.53,75,,,1953,1983,1953,1983
MALAHAT,BC,1014818,,,48.58,-123.58,275,1991,1992,,,,
MALAHAT,BC,1014820,71774,WKH,48.57,-123.53,365.8,1994,2019,1920,2019,1920,2005
MAYNE ISLAND,BC,1014930,,,48.85,-123.33,9.1,,,1921,1942,1921,1942
MAYNE ISLAND,BC,1014931,,,48.84,-123.32,28,,,1970,2002,1970,2002
METCHOSIN,BC,1015105,,,48.37,-123.56,164,,,1911,2019,1915,2007
METCHOSIN HAPPY VALLEY,BC,1015107,,,48.42,-123.53,76,,,1970,1998,1970,1998
METCHOSIN MOUNTAIN,BC,1015109,,,48.4,-123.53,91.4,,,1972,1972,1972,1972
METCHOSIN PARRY BAY,BC,1015111,,,48.38,-123.5,3,,,1991,1995,1991,1995
MILL BAY KILMALU,BC,1015134,,,48.65,-123.55,45.7,,,1972,1983,1972,1983
MILL BAY 1 SOUTHWEST,BC,1015136,,,48.64,-123.56,100,,,1989,2006,1989,2006
MILLSTREAM,BC,1015150,,,48.48,-123.55,213.4,,,1926,1941,1926,1941
MILNES LANDING,BC,1015160,,,48.35,-123.73,38.1,,,1910,1956,1910,1956
MUIR CREEK 1W,BC,1015242,,,48.38,-123.88,30,,,1970,1986,1970,1986
NORTH COWICHAN,BC,1015628,,,48.82,-123.72,45.7,,,1981,2019,1981,2007
NORTH COWICHAN,BC,1015630,71927,VOO,48.82,-123.72,44.8,2007,2019,2007,2019,,
NORTH PENDER ISLAND,BC,1015638,,,48.76,-123.29,98,,,1972,2019,1972,2007
PENDER ISLAND,BC,1016120,,,48.77,-123.3,26.2,,,1924,1999,1924,1999
PIERS ISLAND,BC,1016169,,,48.7,-123.42,17.1,,,1973,1985,1973,1985
POINT-NO-POINT,BC,1016203,,,48.41,-123.99,25,,,1990,2005,1990,2005
PORT RENFREW,BC,1016335,,,48.59,-124.33,10,,,1970,2014,1970,2007
RACE ROCKS,BC,1016640,71778,WQK,48.3,-123.53,7.4,1994,2019,1995,2019,,
