SS,Site,Depth,Depth,Tide,Tide
SS,Site,Min,Max,Min,Max
A-02,0001,0.5,2.5,-0.55,0.36
A-02,0002,3.1,5.2,-0.55,0.36
A-02,0003,3.1,4.3,-0.55,0.36
A-02,0004,3.7,4.5,-0.55,0.36
A-02,0005,3.7,4.6,-0.55,0.36
A-02,0006,3.7,4.7,-0.55,0.36
A-02,0007,1.5,5.5,-0.55,0.36
A-02,0008,1.7,5.7,-0.55,0.36
A-02,0009,1.8,5.0,-0.55,0.36
A-02,0010,2.1,5.3,-0.55,0.36
A-02,0011,1.9,4.9,-0.55,0.36
A-02,0012,2.2,5.3,-0.55,0.36
A-02,0013,2.7,5.0,-0.55,0.36
A-02,0014,2.0,4.2,-0.55,0.36
A-02,0015_R,1.5,5.8,-0.57,0.37
A-02,0016,1.1,3.1,-0.52,0.36
A-03.1,0001,0.7,2.6,-0.47,0.31
A-03.1,0002,3.0,3.7,-0.46,0.31
A-03.1,0004,0.2,1.6,-0.47,0.31
A-03.1,0006,0.3,3.5,-0.47,0.31
A-03.1,0009,0.5,3.2,-0.46,0.31
A-03.1,0010,0.3,2.0,-0.47,0.31
A-03.1,0011,0.2,0.8,-0.46,0.31
A-03.1,0012,0.5,1.3,-0.46,0.31
A-03.1,0014,2.4,3.5,-0.47,0.31
A-03.1,0015,0.9,3.3,-0.47,0.31
A-03.1,0016,0.3,1.3,-0.46,0.31
A-03.1,0017,3.7,4.4,-0.46,0.31
A-03.1,0018,3.2,3.9,-0.46,0.31
A-03.1,0019,1.6,4.0,-0.46,0.31
A-03.1,0020,3.1,3.7,-0.46,0.31
A-03.1,0021,0.6,1.9,-0.46,0.31
A-03.1,0022,1.1,4.2,-0.46,0.31
A-03.1,0023,1.7,4.3,-0.46,0.31
A-03.1,0024,1.9,2.5,-0.46,0.31
A-03.1,0025,2.1,3.0,-0.46,0.31
A-03.1,0026,0.4,1.1,-0.46,0.31
A-03.1,0027,0.6,1.4,-0.47,0.31
A-03.1,0028,0.6,1.4,-0.46,0.31
A-04,0001,1.7,4.5,-0.48,0.28
A-04,0002,2.8,5.6,-0.48,0.28
A-04,0003,1.7,3.4,-0.48,0.28
A-04,0004,3.9,4.8,-0.48,0.28
A-04,0005,3.9,5.1,-0.48,0.28
A-04,0006,2.0,7.6,-0.48,0.28
A-04,0007,2.8,3.9,-0.48,0.28
A-04,0008,5.0,6.1,-0.48,0.28
A-04,0009,4.2,6.1,-0.48,0.28
A-05,0001,4.6,6.7,-0.36,0.34
A-05,0002,4.2,7.7,-0.36,0.34
A-05,0003,4.5,7.1,-0.36,0.34
A-05,0004,4.2,7.6,-0.36,0.34
A-05,0005,4.0,7.7,-0.36,0.34
A-05,0006,4.4,6.7,-0.36,0.34
A-05,0007,2.8,5.6,-0.36,0.34
A-05,0008,5.5,6.6,-0.36,0.34
A-05,0009,5.5,6.4,-0.36,0.34
A-06,0001,2.9,4.2,-0.34,0.37
A-06,0002,4.5,5.6,-0.34,0.37
A-06,0003,4.1,5.0,-0.34,0.37
A-06,0004,4.1,5.4,-0.34,0.37
A-06,0005,5.8,7.9,-0.34,0.37
A-06,0006,3.4,4.5,-0.34,0.37
A-06,0007,3.6,4.9,-0.34,0.37
A-07,0001,3.2,8.1,-0.32,0.32
A-07,0002,2.1,5.7,-0.32,0.32
A-07,0003,2.3,7.7,-0.32,0.32
A-07,0004,2.9,7.0,-0.32,0.32
A-07,0005,3.8,6.0,-0.32,0.32
A-07,0006,3.4,5.4,-0.32,0.32
A-07,0007,2.4,4.9,-0.32,0.32
A-07,0008,2.2,5.7,-0.32,0.32
A-07,0009,3.0,6.6,-0.32,0.32
A-07,0010,7.4,9.7,-0.32,0.32
A-07,0011_R,1.4,4.4,-0.32,0.32
A-07,0012,1.7,4.5,-0.32,0.32
A-07,0013,1.4,4.0,-0.32,0.32
A-07,0014,1.5,3.6,-0.32,0.32
A-07,0015,1.6,4.6,-0.32,0.32
A-07,0016,2.1,4.6,-0.32,0.32
A-07,0017,3.0,7.0,-0.32,0.32
A-07,0018,1.0,7.3,-0.32,0.32
A-07,0019,5.1,6.9,-0.32,0.32
A-07,0020,4.3,7.2,-0.32,0.32
A-07,0021,2.1,3.2,-0.25,0.27
A-08.1,0001,2.3,4.6,-0.48,0.34
A-08.1,0002,2.5,4.9,-0.48,0.34
A-08.1,0003,2.4,4.6,-0.48,0.34
A-08.1,0004,1.6,5.0,-0.48,0.34
A-08.1,0005,2.3,4.5,-0.48,0.34
A-08.1,0006,2.0,6.2,-0.48,0.34
A-08.1,0007,2.7,7.1,-0.48,0.34
A-08.1,0008,3.2,5.6,-0.48,0.34
A-08.1,0009,2.9,6.3,-0.48,0.34
A-08.1,0010,1.0,4.3,-0.48,0.34
A-08.1,0012,0.8,1.9,-0.48,0.34
A-08.1,0013,0.7,3.9,-0.48,0.34
A-08.1,0014,1.2,5.0,-0.48,0.34
A-08.1,0015,1.5,3.0,-0.48,0.34
A-08.1,0016,3.2,5.8,-0.48,0.34
A-08.1,0017,0.9,4.0,-0.45,0.29
A-08.1,0018,1.3,4.3,-0.45,0.33
A-08.1,0019,0.9,5.4,-0.40,0.33
A-08.2,0017,3.0,6.2,-0.50,0.38
A-08.2,0018,2.3,6.7,-0.50,0.38
A-08.2,0019,2.3,4.4,-0.50,0.38
A-08.2,0020,2.4,3.8,-0.50,0.38
A-08.2,0021,2.4,3.4,-0.50,0.38
A-08.2,0022,1.6,3.8,-0.50,0.38
A-08.3.1,0001,0.3,1.3,-0.54,0.39
A-08.3.1,0002,0.5,1.4,-0.54,0.39
A-08.3.1,0003,0.3,2.7,-0.54,0.39
A-08.3.1,0004,0.3,1.3,-0.54,0.39
A-08.3.1,0005,0.3,2.0,-0.54,0.39
A-08.3.1,0006,1.1,2.3,-0.54,0.39
A-08.3.1,0007,1.0,1.7,-0.54,0.39
A-08.3.1,0008,1.8,3.1,-0.54,0.39
A-08.3.1,0009,0.4,2.4,-0.54,0.39
A-08.3.1,0010,0.3,3.1,-0.54,0.39
A-08.3.2,0023,1.0,3.4,-0.50,0.38
A-08.3.2,0024,1.2,2.4,-0.50,0.38
A-08.3.2,0025,1.9,3.9,-0.50,0.38
A-08.4,0026,0.5,2.4,-0.51,0.37
A-08.4,0027,1.0,4.0,-0.51,0.37
A-09.1,0005_ZA02,0.3,1.5,-0.51,0.37
A-09.1,0005_ZA02,0.3,1.5,-0.51,0.37
A-09.1,0005_ZA16,0.3,1.5,-0.52,0.38
A-09.1,0006_ZA02,0.5,1.5,-0.51,0.37
A-09.1,0006_ZA16,0.5,1.8,-0.52,0.38
A-09.1,0010_ZA16,1.1,1.9,-0.52,0.38
A-09.1,0017_ZA16,1.7,4.5,-0.52,0.38
A-09.1,0026_ZA02,0.4,6.0,-0.51,0.37
A-09.1,0026_ZA16,0.4,6.0,-0.52,0.38
A-09.1,0031_ZA16,0.9,1.9,-0.52,0.38
A-09.1,0032_ZA16,0.5,2.0,-0.52,0.38
A-09.1,0033_ZA03,0.5,2.5,-0.51,0.37
A-09.1,0033_ZA16,0.5,2.5,-0.52,0.38
A-09.1,0040_ZA16,0.4,1.5,-0.52,0.38
A-09.1,0041_ZA03,0.3,0.8,-0.51,0.37
A-09.1,0041_ZA16,0.3,1.3,-0.52,0.38
A-09.1,0042,0.3,1.2,-0.52,0.38
A-09.1,0042,0.3,1.2,-0.52,0.38
A-09.1,0043,1.2,2.9,-0.52,0.37
A-09.1,0099,0.3,1.2,-0.51,0.37
A-09.1E,0046,1.5,2.1,-0.52,0.36
A-09.1E,0047,1.6,2.4,-0.52,0.36
A-09.1E,0047,1.6,2.4,-0.52,0.36
A-09.1E,0048,0.9,1.5,-0.49,0.36
A-09.1E,0049,0.5,0.9,-0.49,0.36
A-09.1E,0050,0.9,1.4,-0.52,0.35
A-09.1E,0051,0.7,1.2,-0.52,0.35
A-09.2,0048_ZA17,0.3,3.4,-0.33,0.31
A-09.2,0049_ZA17,1.3,2.6,-0.33,0.31
A-09.2,0050_ZA03,0.7,1.0,-0.31,0.27
A-09.2,0050_ZA17,0.7,3.6,-0.33,0.31
A-09.2,0072_ZA03,0.3,1.0,-0.32,0.31
A-09.2,0072_ZA17,0.3,1.0,-0.33,0.31
A-09.2,0072_ZA17,0.3,1.0,-0.33,0.31
A-09.2,0073_ZA17,0.5,6.0,-0.33,0.31
A-09.2,0073_ZA17,0.5,6.0,-0.33,0.31
A-09.2,0075_ZA03,0.6,5.0,-0.32,0.31
A-09.2,0075_ZA17,0.6,5.0,-0.33,0.31
A-09.2,0077_ZA03,0.3,1.0,-0.32,0.31
A-09.2,0077_ZA17,0.3,1.0,-0.33,0.31
A-09.3,0053_ZA18,0.3,0.9,-0.33,0.31
A-09.3,0056,1.0,2.5,-0.31,0.27
A-09.3,0057_ZA03,4.0,4.2,-0.32,0.31
A-09.3,0057_ZA18,2.7,4.2,-0.33,0.31
A-09.3,0059_ZA04,0.8,15.5,-0.34,0.29
A-09.3,0059_ZA18,0.8,15.5,-0.34,0.31
A-09.3,0060_ZA04,1.0,9.0,-0.34,0.29
A-09.3,0060_ZA18,1.0,9.0,-0.34,0.31
A-09.3,0062_ZA04,0.7,6.5,-0.34,0.29
A-09.3,0062_ZA18,0.7,6.6,-0.34,0.31
A-09.3,0067_ZA04,1.5,12.0,-0.34,0.29
A-09.3,0067_ZA18,1.5,12.0,-0.34,0.31
A-09.3,0070_ZA18,4.7,5.5,-0.34,0.31
A-09.3,0077_ZA18,4.4,6.9,-0.34,0.31
A-09.3,0078_ZA18,0.6,3.1,-0.34,0.31
A-09.3,0079_ZA18,3.8,6.6,-0.34,0.31
A-09.4,0001,0.2,1.4,-0.33,0.30
A-09.4,0002,0.5,0.5,-0.33,0.30
A-09.4,0003,0.3,1.1,-0.33,0.30
A-09.4,0004,0.3,0.4,-0.33,0.30
A-09.4,0005,0.2,0.8,-0.33,0.30
A-09.4,0007,0.7,0.7,-0.33,0.30
A-09.4,0008,0.4,1.0,-0.33,0.30
A-09.5,0001_ZA00PC3,0.5,1.6,-0.52,0.38
A-09.5,0002_ZA00PC3,8.5,10.6,-0.52,0.38
A-09.5,0003_ZA00PC3,0.5,2.0,-0.52,0.38
A-09.5,0004_ZA00PC3,5.5,6.5,-0.52,0.38
A-09.5,0012_ZA00PC3,6.0,7.0,-0.52,0.38
A-09.5,0024_ZA00PC3,6.2,7.9,-0.52,0.38
A-09.5,0030_ZA00PC3,5.0,5.9,-0.52,0.38
A-09.5,0051_ZA00PC3,0.8,2.4,-0.52,0.38
A-09.5,0074_ZA00PC3,4.1,5.1,-0.52,0.38
A-09.5,0075_ZA00PC3,6.9,7.9,-0.52,0.38
A-09.5,0076_ZA00PC3,6.8,8.3,-0.52,0.38
A-09.5,0085,1.3,4.3,-0.52,0.38
A-09.5,0086,0.5,2.2,-0.52,0.38
